datap,median,total,size,clade,numtaxa
Dal_Sasso_etal_2017a.nex,0.540909091,0.556918745,440,Non_dinosaur_archosauro,1
Fiorelli_etal_2016a.nex,0.539772727,0.5546875,440,Non_dinosaur_archosauro,1
Iori_etal_2018a.nex,0.5375,0.551258117,440,Non_dinosaur_archosauro,1
Martinelli_etal_2018a.nex,0.538636364,0.551850362,440,Non_dinosaur_archosauro,1
Godoy_etal_2016a.nex,0.537585421,0.550903979,439,Non_dinosaur_archosauro,1
Leardi_etal_2015b.nex,0.537585421,0.551601716,439,Non_dinosaur_archosauro,1
Brusatte_etal_2008a.nex,0.347826087,0.405928204,437,Non_dinosaur_archosauro,1
Leardi_etal_2015a.nex,0.537757437,0.543614721,437,Non_dinosaur_archosauro,1
Luo_etal_2007a.nex,0.379587156,0.436971578,436,Meso_mammals,1
Zheng_etal_2013a.nex,0.5,0.513597641,436,Meso_mammals,1
Meng_etal_2006a.nex,0.542528736,0.514347998,435,Meso_mammals,1
Simon_et_Salgado_2023a.nex,0.651972158,0.609825873,431,Dinosaurs,1
Longrich_etal_2017a.nex,0.839534884,0.715591966,430,Dinosaurs,1
Agnolin_et_Novas_2013a.nex,0.540792541,0.524978809,429,Dinosaurs,1
Carballido_etal_2022ah.nex,0.70657277,0.627532317,426,Dinosaurs,1
Delcourt_et_Iori_2020a.nex,0.833333333,0.721596244,426,Dinosaurs,1
Gonzalez_Riga_etal_2019a.nex,0.70657277,0.627532317,426,Dinosaurs,1
Lerzo_etal_inpressa.nex,0.687793427,0.622235129,426,Dinosaurs,1
Silva_Junior_etal_2020a.nex,0.664319249,0.613813465,426,Dinosaurs,1
Muizon_etal_2015a.nex,0.223004695,0.232557381,426,Meso_mammals,0.986111111
Zack_etal_inpressab.nex,0.223004695,0.241623256,426,Meso_mammals,0.98630137
Buscalioni_2017a.nex,0.572941176,0.572141176,425,Non_dinosaur_archosauro,1
Marivaux_etal_2016a.nex,0.346698113,0.393717383,424,Primates,1
Agnolin_etal_2012a.nex,0.704491726,0.63783883,423,Dinosaurs,1
Averianov_et_Efimov_2018a.nex,0.729314421,0.667326406,423,Dinosaurs,1
Gonzalez_Riga_etal_2018a.nex,0.728132388,0.661319374,423,Dinosaurs,1
Silva_Junior_etal_2019ac.nex,0.728132388,0.661131971,423,Dinosaurs,1
Carballido_etal_2022al.nex,0.668246445,0.612411137,422,Dinosaurs,1
Hechenleitner_etal_2020a.nex,0.668246445,0.612411137,422,Dinosaurs,1
